,x_0,y_0,seed,learning_rate,minimizer,n_iter,did_converge,distance
50,-2.7200840328781464,-0.5730600890568862,1016,1.0,ADAM,47,True,0.028644813
51,4.183517543102761,3.213318736338147,1017,1.0,RMSProp,4,True,0.0063257236
52,4.183517543102761,3.213318736338147,1017,1.0,SGD,17,False,
53,4.183517543102761,3.213318736338147,1017,1.0,ADAM,69,True,0.020770669
54,0.9397544918868928,-0.45040924304891305,1018,1.0,RMSProp,9,True,0.008554927
55,0.9397544918868928,-0.45040924304891305,1018,1.0,SGD,17,False,
56,0.9397544918868928,-0.45040924304891305,1018,1.0,ADAM,16,True,0.035835095
57,-2.8307314139340845,-1.0400495210627705,1019,1.0,RMSProp,5,True,0.05270561
58,-2.8307314139340845,-1.0400495210627705,1019,1.0,SGD,17,False,
59,-2.8307314139340845,-1.0400495210627705,1019,1.0,ADAM,56,True,0.020377804
60,0.21385737975062735,1.038418470063296,1000,0.1,RMSProp,9,True,0.060430557
61,0.21385737975062735,1.038418470063296,1000,0.1,SGD,30,False,
62,0.21385737975062735,1.038418470063296,1000,0.1,ADAM,33,True,0.02121154
63,1.1259492856995088,-4.842995321796685,1001,0.1,RMSProp,63,True,0.06979487
64,1.1259492856995088,-4.842995321796685,1001,0.1,SGD,30,False,
65,1.1259492856995088,-4.842995321796685,1001,0.1,ADAM,84,True,0.015876718
66,-1.191788405168841,-1.4281066232905304,1002,0.1,RMSProp,17,True,0.034084953
67,-1.191788405168841,-1.4281066232905304,1002,0.1,SGD,30,False,
68,-1.191788405168841,-1.4281066232905304,1002,0.1,ADAM,56,True,0.062150296
69,-3.122426317313666,-2.432941897811779,1003,0.1,RMSProp,48,True,0.009786786
70,-3.122426317313666,-2.432941897811779,1003,0.1,SGD,29,False,
71,-3.122426317313666,-2.432941897811779,1003,0.1,ADAM,82,True,0.036861338
72,-4.99119547259285,-3.6984868787236858,1004,0.1,RMSProp,73,True,0.009453624
73,-4.99119547259285,-3.6984868787236858,1004,0.1,SGD,29,False,
74,-4.99119547259285,-3.6984868787236858,1004,0.1,ADAM,86,True,0.05109038
